Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
KTB,"Kontoor Brands, Inc.",Consumer Cyclical,Apparel Manufacturing,apparel-manufacturing,3945893632,1.18,1.869,0.51,45.0,48.11,14.39,11.15,0.34,0,3.03,116.6,8.290000000000001,10.0,40.27,20
RLX,RLX Technology Inc.,Consumer Defensive,Tobacco,tobacco,2481176832,0.57,8.533,7.674,107.4,33.269999999999996,18.45,12.18,-0.03,0,4.83,27.1,22.470000000000002,0.97,5.9,20
CNX,CNX Resources Corporation,Energy,Oil & Gas E&P,oil-gas-e-p,4913517056,2.2,0.494,0.26,28.199999999999996,74.82,4.63,8.12,0.4,0,0.0,0.0,52.68000000000001,19.32,14.6,20
DLO,DLocal Limited,Technology,Software - Infrastructure,software-infrastructure,3451776768,2.85,1.326,1.232,54.900000000000006,36.0,18.33,10.79,0.82,0,1.61,-6.7,15.840000000000002,12.629999999999999,34.57,20
TIGO,Millicom International Cellular S.A.,Communication Services,Telecom Services,telecom-services,13907615744,2.16,0.615,0.492,45.1,77.07000000000001,11.26,12.7,0.27,0,3.49,-43.0,19.139999999999997,3.6900000000000004,36.15,20
TGTX,"TG Therapeutics, Inc.",Healthcare,Biotechnology,biotechnology,6082010624,8.68,5.809,4.845,69.6,83.05,13.89,14.56,0.45,0,0.0,300.0,65.95,25.509999999999998,69.01,20
DAVE,Dave Inc.,Technology,Software - Application,software-application,3170297600,5.24,3.857,1.533,46.7,72.1,16.03,12.54,0.78,0,0.0,104.1,37.21,13.69,55.53,20
HL,Hecla Mining Company,Basic Materials,Other Precious Metals & Mining,other-precious-metals-mining,11791123456,7.24,4.94,4.381,100.4,59.589999999999996,25.48,14.01,-0.01,0,0.09,0.0,16.81,0.0,12.41,18
TEX,Terex Corporation,Industrials,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,6769616384,1.14,1.839,0.79,41.099999999999994,17.04,28.91,10.19,0.56,0,1.18,0.0,1.87,5.12,10.55,18
LYFT,"Lyft, Inc.",Technology,Software - Application,software-application,5156088832,0.79,0.583,0.431,13.8,35.620000000000005,1.99,6.69,0.44,0,0.0,488.90000000000003,43.82,22.470000000000002,86.88,18
BGC,"BGC Group, Inc.",Financial Services,Capital Markets,capital-markets,5164230656,1.67,1.49,1.49,44.3,91.71000000000001,29.14,6.67,0.08,0,0.72,54.800000000000004,5.94,2.34,15.93,18
LNC,Lincoln National Corporation,Financial Services,Insurance - Life,insurance-life,6841608192,0.36,2.193,1.154,12.5,27.02,3.91,4.29,0.23,0,5.0,0.0,9.17,0.01,11.86,18
EQX,Equinox Gold Corp.,Basic Materials,Gold,gold,9958598656,4.13,1.239,0.703,224.29999999999998,58.86,34.11,6.88,-2.11,0,0.25,0.0,25.16,0.0,3.82,18
MNSO,MINISO Group Holding Limited,Consumer Cyclical,Specialty Retail,specialty-retail,4037503232,0.19,1.663,1.064,32.7,44.99,12.71,7.3,0.07,0,4.92,0.0,5.62,2.0500000000000003,25.38,18
ODD,Oddity Tech Ltd.,Consumer Defensive,Household & Personal Products,household-personal-products,695010368,0.86,5.241,3.747,23.5,72.69,6.72,8.91,0.18,0,0.0,9.6,13.68,15.76,27.93,18
GATX,GATX Corporation,Industrials,Rental & Leasing Services,rental-leasing-services,6103279616,3.21,3.132,3.13,38.4,74.06,18.47,15.39,0.51,0,1.56,9.3,17.88,4.22,12.12,18
HALO,"Halozyme Therapeutics, Inc.",Healthcare,Biotechnology,biotechnology,8151085568,5.4,2.762,2.138,42.199999999999996,76.67,24.11,6.95,0.73,0,0.0,31.2,23.13,15.709999999999999,649.18,18
HCC,"Warrior Met Coal, Inc.",Basic Materials,Coking Coal,coking-coal,4914806784,3.34,3.479,2.225,54.0,28.34,35.66,12.52,1.1,0,0.38,0.0,9.34,12.15,2.66,18
OR,OR Royalties Inc.,Basic Materials,Gold,gold,6920472576,21.28,4.106,3.989,87.3,96.67,27.54,21.82,0.09,0,0.73,184.4,78.09,0.0,14.39,18
APLS,"Apellis Pharmaceuticals, Inc.",Healthcare,Biotechnology,biotechnology,5252712960,4.75,3.627,3.003,60.9,64.28,38.35,-130.55,0.66,0,0.0,0.0,12.06,12.55,6.05,18
ASND,Ascendis Pharma A/S,Healthcare,Biotechnology,biotechnology,14805517312,17.1,0.996,0.683,144.3,89.03999999999999,27.26,21.72,-0.83,0,0.0,0.0,57.28,5.489999999999999,140.05,18
ARW,"Arrow Electronics, Inc.",Technology,Electronics & Computer Distribution,electronics-computer-distribution,11404403712,0.34,1.238,0.998,39.0,11.26,15.96,10.47,0.18,0,0.0,201.29999999999998,2.17,3.6799999999999997,8.68,18
GIL,Gildan Activewear Inc.,Consumer Cyclical,Apparel Manufacturing,apparel-manufacturing,11086783488,2.72,2.346,0.643,63.800000000000004,32.6,35.01,11.13,0.66,0,1.71,0.0,6.1,3.75,11.2,18
GLNG,Golar LNG Limited,Energy,Oil & Gas Midstream,oil-gas-midstream,5274227712,11.26,2.569,2.411,120.10000000000001,59.72,38.39,58.89,-0.91,0,1.91,947.7,30.099999999999998,8.14,3.56,18
TAL,TAL Education Group,Consumer Defensive,Education & Training Services,education-training-services,5963512832,1.98,2.175,1.833,31.5,55.35,10.65,9.43,0.61,0,0.0,0.0,17.64,7.6899999999999995,,18
TFPM,Triple Flag Precious Metals Corp.,Basic Materials,Other Precious Metals & Mining,other-precious-metals-mining,6528683520,14.4,6.311,5.006,78.7,87.71,20.93,20.65,0.38,0,0.75,147.2,68.67999999999999,0.0,11.73,18
RSI,"Rush Street Interactive, Inc.",Consumer Cyclical,Gambling,gambling,6053350912,4.87,1.958,1.805,41.099999999999994,34.88,76.88,31.35,1.87,0,0.0,67.2,2.98,7.28,22.62,16
USAC,"USA Compression Partners, LP",Energy,Oil & Gas Equipment & Services,oil-gas-equipment-services,4217245696,3.89,1.547,0.791,35.099999999999994,66.72,29.68,16.27,0.84,0,7.22,95.8,11.91,3.4799999999999995,-98.95,16
SIMO,Silicon Motion Technology Corporation,Technology,Semiconductors,semiconductors,9844123648,9.28,2.852,1.014,105.5,48.1,57.49,30.02,-0.26,0,0.72,238.7,16.02,1.7500000000000002,14.76,16
HBM,Hudbay Minerals Inc.,Basic Materials,Copper,copper,10545556480,4.44,1.356,1.17,27.3,55.25,15.9,12.42,1.45,0,0.12,91.9,27.74,0.0,17.6,16
GRND,Grindr Inc.,Technology,Software - Application,software-application,2276669952,4.78,1.315,1.183,38.3,74.66000000000001,27.85,16.64,0.75,0,0.0,64.5,19.85,10.870000000000001,201.57,16
HTGC,"Hercules Capital, Inc.",Financial Services,Asset Management,asset-management,2939633152,5.3,0.118,0.115,18.4,100.0,8.78,7.96,0.0,0,12.26,-20.8,59.85,6.72,15.33,16
SNDK,Sandisk Corporation,Technology,Computer Hardware,computer-hardware,235396087808,17.85,4.782,3.432,250.99999999999997,56.04,54.29,9.06,-11.85,0,0.0,0.0,34.18,11.41,-17.81,16
AVT,"Avnet, Inc.",Technology,Electronics & Computer Distribution,electronics-computer-distribution,7309575680,0.29,2.01,1.007,33.900000000000006,10.459999999999999,34.41,11.29,0.17,0,1.63,12.9,0.86,9.44,4.79,16
VEON,VEON Ltd.,Communication Services,Telecom Services,telecom-services,3906597888,0.85,0.86,0.697,17.1,88.02,7.51,6.54,0.08,0,0.0,1.6,11.63,0.51,39.7,16
PIPR,Piper Sandler Companies,Financial Services,Capital Markets,capital-markets,5463635456,2.71,3.376,3.317,32.800000000000004,91.29,20.42,14.39,0.16,0,0.9,1.0999999999999999,13.969999999999999,4.63,20.52,16
GDV,The Gabelli Dividend & Income Trust,Financial Services,Asset Management,asset-management,2560427520,40.48,0.161,0.147,14.2,100.0,6.05,0.0,0.0,0,6.19,54.1,678.86,0.09,15.83,16
FSS,Federal Signal Corporation,Industrials,Pollution & Treatment Controls,pollution-treatment-controls,7109202944,3.04,2.845,1.238,34.9,29.020000000000003,26.49,21.03,1.4,0,0.53,52.0,11.559999999999999,7.91,17.84,16
GVA,Granite Construction Incorporated,Industrials,Engineering & Construction,engineering-construction,5841059328,1.26,1.085,0.921,30.4,15.9,36.48,18.25,0.74,0,0.4,0.0,3.9899999999999998,15.61,16.37,16
ORA,"Ormat Technologies, Inc.",Utilities,Utilities - Renewable,utilities-renewable,8546960896,7.34,1.069,0.881,75.8,27.51,67.19,55.96,1.29,0,0.36,7.6,10.96,7.720000000000001,4.87,16
VTMX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",Real Estate,Real Estate - Development,real-estate-development,3187353856,10.88,5.665,5.452,14.299999999999999,89.63,9.09,14.11,0.97,0,2.43,583.8,112.01,0.0,,16
UGP,Ultrapar Participações S.A.,Energy,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,5982235648,0.04,1.666,1.166,10.299999999999999,7.13,9.72,9.33,0.03,0,5.55,167.4,2.06,0.25,15.66,16
UPST,"Upstart Holdings, Inc.",Financial Services,Credit Services,credit-services,2930688256,2.5,11.648,2.836,44.6,82.71,74.68,9.02,0.24,0,0.0,0.0,4.21,32.32,6.71,16
CAAP,Corporación América Airports S.A.,Industrials,Airports & Air Services,airports-air-services,4168708096,2.03,1.402,1.379,24.0,35.589999999999996,14.68,11.28,0.99,0,0.0,89.7,13.84,4.74,15.61,16
CPA,"Copa Holdings, S.A.",Industrials,Airlines,airlines,5804130816,1.54,1.161,0.985,17.0,41.42,8.29,7.16,0.75,0,4.99,20.5,18.759999999999998,5.89,24.2,16
TEO,Telecom Argentina S.A.,Communication Services,Telecom Services,telecom-services,5487597056,0.0,0.581,0.558,30.5,75.73,21.97,7.95,0.0,0,0.36,439.1,3.92,0.7000000000000001,-2.48,16
MCY,Mercury General Corporation,Financial Services,Insurance - Property & Casualty,insurance-property-casualty,5625268736,0.92,0.875,0.838,10.5,25.230000000000004,6.69,8.46,0.61,0,1.26,0.0,13.69,4.67,22.38,16
CXW,"CoreCivic, Inc.",Industrials,Security & Protection Services,security-protection-services,2095446656,0.9,2.438,2.261,25.8,23.61,17.23,10.65,0.51,0,0.0,65.7,5.53,4.109999999999999,8.29,16
TMDX,"TransMedics Group, Inc.",Healthcare,Medical Devices,medical-devices,2435161856,3.83,6.737,6.01,21.2,59.089999999999996,16.12,19.83,1.23,0,0.0,-71.5,27.04,37.55,40.22,16
ORI,Old Republic International Corporation,Financial Services,Insurance - Property & Casualty,insurance-property-casualty,9598465024,1.02,0.227,0.191,13.5,63.49,9.71,11.82,0.32,0,3.2,34.699999999999996,10.83,4.6,15.82,16
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas E&P,oil-gas-e-p,3870911232,1.93,0.407,0.272,14.2,55.98,5.96,10.83,0.73,0,0.0,0.0,31.2,26.66,15.88,16
LIF,"Life360, Inc.",Technology,Software - Application,software-application,3309334272,6.26,5.372,5.043,38.1,77.10000000000001,23.34,25.1,0.89,0,0.0,-40.1,28.21,13.88,27.51,16
CMC,Commercial Metals Company,Industrials,Metal Fabrication,metal-fabrication,8175727104,0.97,2.384,1.296,21.5,17.740000000000002,16.49,10.65,0.63,0,1.03,277.3,6.02,7.75,2.02,16
MLCO,Melco Resorts & Entertainment Limited,Consumer Cyclical,Resorts & Casinos,resorts-casinos,2147252352,0.41,0.837,0.757,10.9,37.980000000000004,9.53,6.6,0.22,0,0.0,150.0,4.33,3.5999999999999996,-14.84,16
EEFT,"Euronet Worldwide, Inc.",Technology,Software - Infrastructure,software-infrastructure,2568546048,0.59,1.277,0.74,10.5,24.3,9.89,5.54,0.4,0,0.0,-2.4,7.109999999999999,12.97,23.67,16
CELH,"Celsius Holdings, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,beverages-non-alcoholic,7584849408,2.56,1.773,1.314,137.7,50.349999999999994,69.0,14.62,-0.48,0,0.0,125.8,5.8500000000000005,9.1,9.14,16
AL,Air Lease Corp,Industrials,Rental & Leasing Services,rental-leasing-services,7282301440,2.41,0.264,0.2,15.1,59.43000000000001,7.0,7.62,0.83,0,0.01,80.9,36.09,4.4799999999999995,12.85,16
WD,"Walker & Dunlop, Inc.",Financial Services,Mortgage Finance,mortgage-finance,1719308544,1.4,1.321,0.301,32.0,100.0,24.79,8.6,0.0,0,5.4,471.1,5.72,3.5999999999999996,3.29,16
WB,Weibo Corporation,Communication Services,Internet Content & Information,internet-content-information,1982577664,1.13,3.388,2.694,3.5999999999999996,75.99000000000001,4.75,4.78,0.26,0,7.62,0.0,25.55,16.42,11.45,16
GMED,"Globus Medical, Inc.",Healthcare,Medical Devices,medical-devices,11551866880,3.73,4.556,2.83,27.0,68.49,19.88,16.55,0.86,0,0.0,66.7,18.92,2.78,11.76,16
STNE,StoneCo Ltd.,Technology,Software - Infrastructure,software-infrastructure,2746046720,0.2,1.335,1.232,4.3,73.63,4.09,4.4,0.05,0,0.0,273.8,25.94,10.38,21.1,16
STRL,"Sterling Infrastructure, Inc.",Industrials,Engineering & Construction,engineering-construction,24043366400,8.33,1.102,1.075,91.60000000000001,23.29,69.9,34.97,0.54,0,0.0,141.4,12.02,9.049999999999999,26.17,16
ENVA,"Enova International, Inc.",Financial Services,Credit Services,credit-services,3957942784,2.5,22.714,21.561,25.8,82.82000000000001,12.94,8.14,0.32,0,0.0,28.599999999999998,20.66,9.42,23.07,16
BYD,Boyd Gaming Corporation,Consumer Cyclical,Resorts & Casinos,resorts-casinos,5996957184,1.46,0.6,0.512,0.6,59.160000000000004,3.57,10.31,0.59,0,0.96,4.7,44.84,6.03,70.66,16
EE,"Excelerate Energy, Inc.",Energy,Oil & Gas Midstream,oil-gas-midstream,4103486208,3.05,2.597,2.397,37.6,39.48,30.29,16.92,1.15,0,0.89,-19.3,2.98,10.79,5.74,16
RYN,Rayonier Inc.,Real Estate,REIT - Specialty,reit-specialty,6202841600,9.14,2.529,2.078,233.8,28.42,44.59,31.1,-8.76,0,5.11,0.0,68.60000000000001,3.58,21.47,16
BXMT,"Blackstone Mortgage Trust, Inc.",Real Estate,REIT - Mortgage,reit-mortgage,3076787456,6.59,99.919,99.866,34.9,100.0,30.4,9.28,0.0,0,10.47,0.0,22.189999999999998,8.110000000000001,3.13,16
RRC,Range Resources Corporation,Energy,Oil & Gas E&P,oil-gas-e-p,9436670976,2.94,0.554,0.408,26.1,52.470000000000006,10.6,8.6,1.03,0,0.97,260.70000000000005,28.12,10.93,15.24,16
UWMC,UWM Holdings Corporation,Financial Services,Mortgage Finance,mortgage-finance,5024851968,1.39,1.792,0.098,24.4,100.0,10.37,6.06,0.0,0,12.94,0.0,1.8399999999999999,11.55,13.72,16
ESI,Element Solutions Inc,Basic Materials,Specialty Chemicals,specialty-chemicals,10518959104,3.76,2.683,1.573,41.5,40.849999999999994,69.65,21.03,1.3,0,0.79,-42.5,5.319999999999999,7.489999999999999,7.13,16
SANM,Sanmina Corporation,Technology,Electronic Components,electronic-components,13933803520,1.23,1.713,0.965,102.3,8.540000000000001,54.96,19.96,-0.03,0,0.0,46.6,2.29,9.02,10.45,16
STWD,"Starwood Property Trust, Inc.",Real Estate,REIT - Mortgage,reit-mortgage,6606654976,11.37,12.856,11.312,21.8,88.1,18.28,9.0,1.06,0,11.1,-60.4,60.46,4.07,6.06,16
BDC,Belden Inc.,Technology,Communication Equipment,communication-equipment,4248794624,1.52,2.086,1.257,11.4,37.46,18.37,12.27,0.84,0,0.19,2.4,8.49,6.510000000000001,18.78,14
PHI,PLDT Inc.,Communication Services,Telecom Services,telecom-services,4045853184,0.02,0.415,0.266,2.1999999999999997,72.16,8.82,6.96,0.01,0,8.11,-1.7000000000000002,13.59,0.09,22.68,14
NMIH,"NMI Holdings, Inc.",Financial Services,Insurance - Specialty,insurance-specialty,2822355712,3.94,1.814,0.509,5.8999999999999995,76.01,7.55,6.87,0.89,0,0.0,0.0,53.82,3.01,15.0,14
HRB,"H&R Block, Inc.",Consumer Cyclical,Personal Services,personal-services,4922099200,1.26,0.995,0.9,5.3,44.3,6.95,6.67,0.66,0,4.32,24.2,18.9,22.509999999999998,681.44,14
SIM,"Grupo Simec, S.A.B. de C.V.",Basic Materials,Steel,steel,4605283328,0.15,5.769,4.584,3.2,25.45,7.92,28.05,0.11,0,0.0,30.9,6.34,0.0,17.67,14
FAF,First American Financial Corporation,Financial Services,Insurance - Specialty,insurance-specialty,6944485376,0.9,0.41,0.41,16.2,63.870000000000005,10.48,9.38,0.27,0,3.23,70.39999999999999,8.73,4.51,11.31,14
SLM,SLM Corporation,Financial Services,Credit Services,credit-services,4164133376,2.5,1.301,1.279,2.5,100.0,6.13,6.55,0.0,0,2.35,10.0,44.93,15.160000000000002,33.85,14
VIPS,Vipshop Holdings Limited,Consumer Cyclical,Internet Retail,internet-retail,7074384896,0.07,1.262,1.097,1.2,23.44,6.73,5.39,0.05,0,4.3,20.200000000000003,7.07,1.78,17.66,14
SNEX,StoneX Group Inc.,Financial Services,Capital Markets,capital-markets,9027537920,0.06,1.059,1.038,23.799999999999997,1.6400000000000001,20.38,17.13,0.04,0,0.0,120.19999999999999,0.31,5.390000000000001,12.87,14
HMY,Harmony Gold Mining Company Limited,Basic Materials,Gold,gold,11383874560,0.14,0.542,0.369,19.5,43.5,11.56,5.43,0.06,0,2.43,22.7,20.06,1.39,,14
PLNT,"Planet Fitness, Inc.",Consumer Cyclical,Leisure,leisure,4176306688,3.24,2.071,1.686,19.7,58.79,18.98,14.6,1.07,0,0.0,30.2,17.77,9.049999999999999,-45.38,14
PJT,PJT Partners Inc.,Financial Services,Capital Markets,capital-markets,6228238848,3.45,2.92,2.92,28.9,95.19,22.12,17.85,0.12,0,0.64,10.8,10.33,8.52,58.43,14
HNI,HNI Corporation,Consumer Cyclical,"Furnishings, Fixtures & Appliances",furnishings-fixtures-appliances,2257697792,0.63,1.385,0.677,124.70000000000002,41.11,116.15,6.49,-0.09,0,4.56,0.0,0.04,3.56,2.95,14
GSHD,"Goosehead Insurance, Inc.",Financial Services,Insurance Brokers,insurance-brokers,1424242176,3.73,1.317,1.006,23.3,48.05,35.09,14.62,1.48,0,0.0,111.9,7.95,9.48,-29.14,14
FOUR,"Shift4 Payments, Inc.",Technology,Software - Infrastructure,software-infrastructure,4241770752,0.95,1.222,0.692,32.2,35.099999999999994,49.18,6.42,0.42,0,0.0,0.0,2.63,20.13,25.37,14
FIVE,"Five Below, Inc.",Consumer Cyclical,Specialty Retail,specialty-retail,12224050176,2.57,2.009,0.977,24.3,35.99,34.12,24.28,1.24,0,0.0,26.3,7.53,3.82,16.35,14
HAYW,"Hayward Holdings, Inc.",Industrials,Electrical Equipment & Parts,electrical-equipment-parts,3033142528,2.64,3.261,2.292,11.5,48.07,19.15,14.62,1.21,0,0.0,79.10000000000001,13.98,5.48,9.51,14
FINV,FinVolution Group,Financial Services,Credit Services,credit-services,1168665216,0.09,12.937,6.106,-11.899999999999999,74.0,3.51,3.3,0.1,0,6.82,-38.800000000000004,18.68,5.33,15.36,14
HAFN,Hafnia Limited,Industrials,Marine Shipping,marine-shipping,4173174272,1.83,1.476,0.968,11.3,28.060000000000002,12.46,13.05,1.17,0,6.39,42.199999999999996,14.89,7.89,14.58,14
PAY,"Paymentus Holdings, Inc.",Technology,Software - Infrastructure,software-infrastructure,2923344128,2.28,4.413,4.269,30.2,24.740000000000002,40.77,22.84,1.2,0,0.0,45.5,5.779999999999999,4.74,11.94,14
