Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
C,Citigroup Inc.,Financial Services,Banks - Diversified,banks-diversified,240128163840,3.05,0.0,0.0,15.9,0.0,17.38,11.15,2.56,0,1.7,56.10000000000001,20.36,0.04,7.44,10
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,oil-gas-integrated,351317819392,1.89,1.094,0.725,2.3,42.42,30.79,14.02,1.06,0,4.04,-44.5,5.93,0.95,6.6,10
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,drug-manufacturers-general,305122115584,4.64,1.299,0.696,4.9,76.73,34.8,12.82,1.03,0,2.75,0.0,13.59,1.27,34.7,10
NVS,Novartis AG,Healthcare,Drug Manufacturers - General,drug-manufacturers-general,293941575680,5.2,0.848,0.526,-0.7000000000000001,75.55,22.07,15.74,5.23,0,3.08,-9.3,23.919999999999998,0.27999999999999997,30.31,8
PM,Philip Morris International Inc.,Consumer Defensive,Tobacco,tobacco,283065450496,6.82,0.976,0.452,9.1,67.28,25.58,19.91,2.03,0,3.25,-9.3,26.740000000000002,1.17,-113.55,8
NFLX,"Netflix, Inc.",Communication Services,Entertainment,entertainment,308946305024,6.59,1.407,1.178,16.2,49.03,23.67,19.1,2.81,0,0.0,86.4,28.52,2.4899999999999998,41.26,8
RTX,RTX Corporation,Industrials,Aerospace & Defense,aerospace-defense,263855669248,2.92,1.024,0.646,8.7,20.21,36.76,25.84,2.13,0,1.49,32.5,8.03,1.2,10.32,8
WDC,Western Digital Corporation,Technology,Computer Hardware,computer-hardware,200806662144,17.05,1.49,1.107,45.5,45.43,34.84,31.56,5.07,0,0.1,482.9,55.28999999999999,7.32,35.04,8
QCOM,QUALCOMM Incorporated,Technology,Semiconductors,semiconductors,199374651392,4.48,2.366,1.448,-3.5000000000000004,54.800000000000004,20.32,17.19,4.64,0,1.95,173.0,22.31,4.2700000000000005,26.13,8
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,software-infrastructure,2860690440192,8.99,1.283,1.142,18.3,68.31,22.94,19.89,2.33,0,0.95,23.400000000000002,39.34,1.2,29.65,8
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,discount-stores,906425204736,1.25,0.771,0.187,7.3,24.98,40.11,34.66,0.87,0,0.87,19.400000000000002,3.1399999999999997,1.8900000000000001,21.98,8
AAPL,Apple Inc.,Technology,Consumer Electronics,consumer-electronics,4631217307648,10.26,1.07,0.906,16.6,47.86,38.17,32.82,4.46,0,0.34,21.8,27.150000000000002,0.96,151.91,8
LIN,Linde plc,Basic Materials,Specialty Chemicals,specialty-chemicals,244946960384,7.07,0.828,0.624,8.200000000000001,48.77,35.09,26.88,3.32,0,1.21,13.4,20.44,1.4200000000000002,18.04,8
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,internet-content-information,4332279300096,10.25,1.922,1.707,21.8,60.370000000000005,27.1,24.36,3.18,0,0.25,82.0,37.92,0.0,31.83,8
ARM,Arm Holdings plc,Technology,Semiconductors,semiconductors,345406013440,70.2,5.996,5.834,20.1,97.54,384.99,104.97,1.38,0,0.0,47.9,18.37,11.85,10.91,8
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,restaurants,195104915456,7.11,1.136,0.869,9.4,57.35,22.62,19.32,2.75,0,2.69,6.9,31.619999999999997,1.72,-478.38,8
GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,specialty-industrial-machinery,293326684160,7.45,0.893,0.564,16.3,20.28,31.95,44.73,4.97,0,0.18,1816.5,23.810000000000002,4.35,43.69,8
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,internet-content-information,4358514933760,10.32,1.922,1.707,21.8,60.370000000000005,27.24,24.51,3.2,0,0.25,82.0,37.92,1.46,31.83,8
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,beverages-non-alcoholic,359214252032,7.29,1.358,0.782,12.1,61.739999999999995,26.25,23.99,2.45,0,2.54,18.2,27.800000000000004,1.16,40.74,8
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,drug-manufacturers-general,438305980416,6.98,0.796,0.519,12.4,72.03,122.21,15.24,1.71,0,2.79,-46.2,5.79,1.38,-129.24,8
ADI,"Analog Devices, Inc.",Technology,Semiconductors,semiconductors,192715980800,15.13,1.752,1.232,37.2,64.49000000000001,58.79,26.77,3.37,0,1.12,110.5,26.009999999999998,2.76,6.7,6
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,semiconductor-equipment-materials,478360567808,16.48,2.508,1.624,11.4,48.96,56.84,36.45,7.45,0,0.36,33.5,29.310000000000002,2.52,34.28,6
ANET,"Arista Networks, Inc.",Technology,Computer Hardware,computer-hardware,235414323200,24.24,2.829,2.176,35.099999999999994,63.54,64.03,41.97,5.74,0,0.0,25.0,38.32,2.08,28.39,6
AVGO,Broadcom Inc.,Technology,Semiconductors,semiconductors,1902889402368,25.22,2.238,1.929,47.9,76.28,66.66,20.62,3.12,0,0.65,85.39999999999999,38.85,1.5,28.45,6
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,semiconductor-equipment-materials,302428848128,23.09,3.026,1.963,11.5,61.45,65.4,45.43,7.88,0,0.4,11.799999999999999,35.66,2.94,86.56,6
GE,GE Aerospace,Industrials,Aerospace & Defense,aerospace-defense,375375921152,7.77,1.008,0.65,24.7,31.15,44.63,41.29,4.03,0,0.52,-1.7999999999999998,17.86,1.24,46.6,6
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,communication-equipment,478135418880,7.87,0.925,0.704,12.0,64.3,40.44,25.4,2.47,0,1.38,37.1,19.68,1.37,21.73,6
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,438672392192,6.2,1.353,0.73,22.2,28.599999999999998,47.38,31.32,3.44,0,0.68,30.2,13.33,2.19,41.67,6
