Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
ETO,Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund,Financial Services,Asset Management,asset-management,519012320,20.84,4.067,4.008,31.4,100.0,3.77,0.0,0.0,0,6.62,0.0,553.51,0.0,17.35,22
PICS,PicS N.V.,Technology,Software - Infrastructure,software-infrastructure,1612068992,0.14,0.962,0.897,70.19999999999999,94.08999999999999,7.19,4.0,0.0,0,0.0,-99.7,9.959999999999999,5.65,28.18,22
CDLR,Cadeler A/S,Industrials,Engineering & Construction,engineering-construction,2284433664,3.36,1.305,1.247,90.5,56.81,6.75,0.0,0.14,0,0.0,0.0,39.93,1.5,18.63,22
ABUS,Arbutus Biopharma Corporation,Healthcare,Biotechnology,biotechnology,896821184,4.68,54.263,54.002,10054.5,89.34,5.47,-27.47,-49.7,0,0.0,0.0,83.95,14.799999999999999,-43.75,22
EFC,Ellington Financial Inc.,Real Estate,REIT - Mortgage,reit-mortgage,1735381504,4.34,8.095,8.08,76.5,100.0,8.41,7.06,0.0,0,11.78,127.0,53.39,6.25,9.78,22
TK,Teekay Corporation Ltd.,Energy,Oil & Gas Midstream,oil-gas-midstream,984103744,0.85,10.361,9.464,43.5,50.4,10.01,26.3,0.24,0,0.0,242.60000000000002,15.78,6.13,13.54,20
GAU,Galiano Gold Inc.,Basic Materials,Gold,gold,544630720,1.26,0.965,0.578,248.70000000000002,50.739999999999995,18.95,2.27,-0.92,0,0.0,0.0,7.000000000000001,1.2,-13.38,20
SKWD,"Skyward Specialty Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty,insurance-property-casualty,2605702656,1.5,1.958,0.899,53.0,28.49,13.73,11.65,0.51,0,0.0,15.1,10.84,5.6000000000000005,16.84,20
AII,"American Integrity Insurance Group, Inc.",Financial Services,Insurance - Property & Casualty,insurance-property-casualty,412582560,1.4,1.509,0.428,26.5,51.54,4.35,6.99,0.5,0,0.0,-63.4,27.560000000000002,2.6,29.56,20
TREE,"LendingTree, Inc.",Financial Services,Financial Conglomerates,financial-conglomerates,450389152,0.36,1.846,1.765,25.3,96.41,2.48,4.85,0.01,0,0.0,4.6,14.32,12.65,52.76,20
SKYT,"SkyWater Technology, Inc.",Technology,Semiconductors,semiconductors,1597181312,2.95,0.514,0.389,162.1,19.36,13.87,-249.69,-1.48,0,0.0,0.0,21.04,7.340000000000001,63.31,20
VOXR,Vox Royalty Corp.,Basic Materials,Other Precious Metals & Mining,other-precious-metals-mining,345197760,11.51,4.943,4.823,498.29999999999995,94.74000000000001,11.13,17.89,-2.41,0,1.21,0.0,102.49999999999999,2.74,5.5,20
SCZM,Santacruz Silver Mining Ltd.,Basic Materials,Other Industrial Metals & Mining,other-industrial-metals-mining,761401088,1.98,1.542,1.095,81.39999999999999,37.7,12.63,0.0,0.23,0,0.0,182.4,15.959999999999999,0.0,23.58,20
RMR,The RMR Group Inc.,Real Estate,Real Estate Services,real-estate-services,328965152,0.62,1.395,1.257,228.2,98.74000000000001,16.75,24.69,-0.01,0,9.57,-26.6,3.7199999999999998,8.91,7.73,20
RJET,Republic Airways Holdings Inc.,Industrials,Airlines,airlines,992105216,0.5,1.028,0.665,40.8,34.21,14.03,0.0,0.2,0,0.0,-27.700000000000003,3.54,4.08,5.74,20
ASIC,unknown,Financial Services,Insurance - Property & Casualty,insurance-property-casualty,0,0.0,1.6,1.11,45.9,28.38,11.6,10.08,0.0,0,0.0,71.8,20.669999999999998,2.62,12.05,20
GOLD,"Gold.com, Inc.",Financial Services,Capital Markets,capital-markets,1262270336,0.05,1.176,0.126,244.0,1.8399999999999999,14.18,11.99,-0.08,0,1.9,0.0,0.35000000000000003,14.469999999999999,2.67,20
IRS,IRSA Inversiones y Representaciones Sociedad Anónima,Real Estate,Real Estate Services,real-estate-services,1248020992,0.0,0.605,0.491,29.299999999999997,64.64999999999999,4.71,162.09,0.0,0,16.22,0.0,72.50999999999999,0.37,-2.7,20
UROY,Uranium Royalty Corp.,Energy,Uranium,uranium,1577618688,8.44,5.936,4.586,4342.6,30.630000000000003,14.28,386.71,-248.37,0,0.0,0.0,21.529999999999998,0.0,12.87,20
SB,"Safe Bulkers, Inc.",Industrials,Marine Shipping,marine-shipping,778516864,2.53,1.002,0.638,33.0,63.63999999999999,9.93,11.95,0.62,0,3.91,0.0,28.29,6.17,4.64,20
MAKO,Mako Mining Corp.,Basic Materials,Gold,gold,807346048,4.36,3.204,2.352,115.8,58.24,16.76,0.0,-0.29,0,0.0,118.10000000000001,25.619999999999997,0.0,22.38,20
FDUS,Fidus Investment Corporation,Financial Services,Asset Management,asset-management,768196288,4.6,2.201,2.146,30.2,100.0,8.96,10.26,0.0,0,10.74,-9.2,49.51,4.2,11.11,20
CRON,Cronos Group Inc.,Healthcare,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,1160500608,6.48,16.181,15.153,58.4,43.02,16.58,-78.75,1.54,0,0.0,0.0,39.08,1.8599999999999999,-0.86,20
ATLC,Atlanticus Holdings Corporation,Financial Services,Credit Services,credit-services,1465803136,2.33,14.669,14.219,60.8,72.39,14.47,7.32,0.25,0,0.0,50.2,21.44,25.83,20.08,20
RHLD,"Resolute Holdings Management, Inc.",Industrials,Specialty Business Services,specialty-business-services,1086927104,0.97,1.351,0.695,295.7,40.87,23.3,0.0,-1.12,0,0.0,0.0,4.21,7.9399999999999995,-90.8,18
MNTN,"MNTN, Inc.",Technology,Software - Application,software-application,821296576,2.62,4.86,4.636,20.599999999999998,80.75,6.24,8.93,0.4,0,0.0,0.0,18.0,8.76,-2.1,18
RERE,ATRenew Inc.,Consumer Cyclical,Internet Retail,internet-retail,988956736,0.04,2.418,0.956,32.4,20.630000000000003,17.17,7.26,0.02,0,2.27,223.1,1.9,1.06,8.43,18
RFI,unknown,Financial Services,Asset Management,asset-management,0,0.0,4.976,4.976,97.0,100.0,27.67,0.0,0.0,0,8.38,0.0,104.71999999999998,0.06999999999999999,3.84,18
TEN,Tsakos Energy Navigation Limited,Energy,Oil & Gas Midstream,oil-gas-midstream,1162925440,1.36,0.0,0.0,28.4,59.72,6.3,13.15,0.39,0,5.12,162.79999999999998,24.81,1.2,8.9,18
HIPO,Hippo Holdings Inc.,Financial Services,Insurance - Property & Casualty,insurance-property-casualty,871113408,1.72,1.004,0.47,23.400000000000002,60.5,7.01,9.39,0.52,0,0.0,660.0,23.919999999999998,3.8899999999999997,13.23,18
TIGR,UP Fintech Holding Limited,Financial Services,Capital Markets,capital-markets,853295680,1.5,1.079,1.075,27.1,87.58,7.83,5.06,0.14,0,0.0,0.0,20.01,6.02,19.75,18
GNK,Genco Shipping & Trading Limited,Industrials,Marine Shipping,marine-shipping,1102305280,2.5,2.971,2.186,68.5,43.86,27.79,12.38,0.44,0,7.16,0.0,9.15,2.8000000000000003,-0.49,18
HRMY,"Harmony Biosciences Holdings, Inc.",Healthcare,Biotechnology,biotechnology,2263939840,2.36,3.479,3.327,30.3,75.42,12.58,5.81,0.4,0,0.0,88.2,18.88,11.82,18.24,18
ARVN,"Arvinas, Inc.",Healthcare,Biotechnology,biotechnology,562947520,1.78,7.905,7.542,1014.7,97.16,33.56,-2.69,-0.46,0,0.0,0.0,2.94,7.21,-18.63,18
ROCK,"Gibraltar Industries, Inc.",Industrials,Building Products & Equipment,building-products-equipment,1513202816,1.05,1.457,0.611,64.60000000000001,25.009999999999998,25.25,10.63,0.28,0,0.0,-68.60000000000001,-10.43,7.6,-4.67,18
NVEC,NVE Corporation,Technology,Semiconductors,semiconductors,620487552,19.85,23.719,19.128,80.7,79.25999999999999,34.48,45.33,0.79,0,3.09,78.60000000000001,57.64,11.44,26.09,18
ONIT,Onity Group Inc.,Financial Services,Mortgage Finance,mortgage-finance,324004864,0.28,0.0,0.0,14.7,93.51,1.95,4.24,0.02,0,0.0,0.0,12.34,4.3,30.18,18
