Symbol,longName,sector,industry,industryKey,marketCap,priceToSalesTrailing12Months,currentRatio,quickRatio,revenueGrowth,grossMargins,trailingPE,forwardPE,PS_adj,pegRatio,dividendYield,earningsGrowth,profitMargins,shortPercentOfFloat,roe,score
WCC,"WESCO International, Inc.",Industrials,Industrial Distribution,industrial-distribution,12430199808,0.53,2.201,1.148,10.3,21.15,19.59,13.97,0.37,0,0.78,10.2,2.72,3.88,12.72,14
WCN,"Waste Connections, Inc.",Industrials,Waste Management,waste-management,42427396096,4.48,0.617,0.525,5.0,42.370000000000005,39.8,26.71,2.45,0,0.8,0.0,11.37,0.7000000000000001,13.06,8
WD,"Walker & Dunlop, Inc.",Financial Services,Mortgage Finance,mortgage-finance,1545320192,1.33,1.476,0.511,-0.0,100.0,27.66,8.29,1.33,0,5.88,0.0,4.92,4.02,3.24,8
WDAY,"Workday, Inc.",Technology,Software - Application,software-application,35142537216,3.68,1.322,1.224,14.499999999999998,75.7,50.82,10.57,0.76,0,0.0,62.9,7.26,7.380000000000001,5.82,10
WDC,Western Digital Corporation,Technology,Computer Hardware,computer-hardware,92606840832,8.63,1.455,1.107,0.0,42.72,25.6,20.14,0.0,0,0.19,0.0,35.64,9.96,35.04,8
WDFC,WD-40 Company,Basic Materials,Specialty Chemicals,specialty-chemicals,3021306880,4.87,2.965,1.803,0.6,55.42,33.89,34.05,2.16,0,1.7,-7.9,14.42,6.69,33.93,8
WDH,Waterdrop Inc.,Financial Services,Insurance - Diversified,insurance-diversified,645645760,0.2,2.596,2.083,38.4,51.13999999999999,8.75,10.63,0.06,0,3.43,46.5,15.57,0.21,7.66,20
WDS,Woodside Energy Group Ltd,Energy,Oil & Gas E&P,oil-gas-e-p,41928765440,3.23,1.592,1.413,-11.1,34.94,15.53,0.0,3.59,0,5.02,-14.4,20.93,0.0,7.57,10
WEAV,"Weave Communications, Inc.",Healthcare,Health Information Services,health-information-services,378693056,1.58,1.241,1.017,17.0,72.09,0.0,23.2,0.37,0,0.0,0.0,-11.74,11.24,-34.05,6
WEC,"WEC Energy Group, Inc.",Utilities,Utilities - Regulated Electric,utilities-regulated-electric,38136000512,3.89,0.587,0.374,11.1,42.38,24.36,19.51,1.99,0,3.31,-32.5,15.89,4.96,11.45,12
WELL,Welltower Inc.,Real Estate,REIT - Healthcare Facilities,reit-healthcare-facilities,144504553472,13.33,1.697,1.136,41.3,40.22,145.85,62.95,4.68,0,1.44,-26.3,8.64,2.56,2.22,4
WEN,The Wendy's Company,Consumer Cyclical,Restaurants,restaurants,1333475712,0.61,1.76,1.187,-5.5,34.72,8.24,10.57,0.65,0,7.77,-40.7,7.580000000000001,61.2,140.63,12
WERN,"Werner Enterprises, Inc.",Industrials,Trucking,trucking,1632638720,0.55,1.947,1.5,-2.3,18.790000000000003,0.0,15.72,0.56,0,2.01,0.0,-0.48,6.1,-1.06,2
WES,"Western Midstream Partners, LP",Energy,Oil & Gas Midstream,oil-gas-midstream,16582985728,4.31,1.34,1.301,11.1,70.78,13.64,10.57,1.12,0,8.95,-45.2,30.04,2.75,29.37,14
WEST,Westrock Coffee Company,Consumer Defensive,Packaged Foods,packaged-foods,382942528,0.32,0.958,0.35,48.3,12.68,0.0,21.97,0.15,0,0.0,0.0,-7.61,20.82,-82.37,12
WEX,WEX Inc.,Technology,Software - Infrastructure,software-infrastructure,5445437952,2.05,1.046,0.945,5.7,71.77,18.74,8.17,0.54,0,0.0,50.3,11.43,6.3,24.63,12
